transaction_id,statement_account_id,statement_account_name,transaction_date,value_date,currency,debit_amount,credit_amount,signed_amount,opening_balance,closing_balance,counterparty_name,bank_reference,payment_channel,status,simulated_match_invoice_id
TXN-20250203-0001,LF-OPER-GBP-7710,Operating GBP Account,2025-02-03,2025-02-04,GBP,217000.0,0.0,-217000.0,390000.0,173000.0,Greyvane Partners,PAY GP-2025-1001 Greyvane Partners,Wire transfer,Posted,GP-2025-1001
TXN-20250217-0002,LF-OPER-AUD-9020,Operating AUD Account,2025-02-17,2025-02-17,AUD,92000.0,0.0,-92000.0,520000.0,428000.0,Thornfield Advisory Ltd,INV TAL-2025-1000 SETTLEMENT,Wire transfer,Posted,TAL-2025-1000
TXN-20250331-0003,LF-OPER-SGD-6500,Operating SGD Account,2025-03-31,2025-03-31,SGD,135000.0,0.0,-135000.0,360000.0,225000.0,Aspen Hill Partners LLP,PAY AHP-2025-1018 Aspen Hill Partners LLP,Wire transfer,Posted,AHP-2025-1018
TXN-20250407-0004,LF-OPER-EUR-4402,Operating EUR Account,2025-04-07,2025-04-08,EUR,86400.0,0.0,-86400.0,420000.0,333600.0,Ardent Financial Solutions,PAY AFS-2025-1005 Ardent Financial Solutions,Wire transfer,Posted,AFS-2025-1005
TXN-20250430-0005,LF-OPER-AUD-9020,Operating AUD Account,2025-04-30,2025-04-30,AUD,280025.0,0.0,-280025.0,428000.0,147975.0,Vantage Advisory Partners,INV VAP-2025-1006 SETTLEMENT,Wire transfer,Posted,VAP-2025-1006
TXN-20250509-0006,LF-OPER-SGD-6500,Operating SGD Account,2025-05-09,2025-05-09,SGD,67850.0,0.0,-67850.0,225000.0,157150.0,Bridgestone Advisory Ltd,AP-BAL-2025-1015-Bridgestone Advisory Ltd,Wire transfer,Posted,BAL-2025-1015
TXN-20250523-0007,LF-OPER-USD-0881,Operating USD Account,2025-05-23,2025-05-23,USD,109620.0,0.0,-109620.0,750000.0,640380.0,Kestrel Capital Services,AP-KCS-2025-1004-Kestrel Capital Services,Wire transfer,Posted,KCS-2025-1004
TXN-20250623-0008,LF-OPER-SGD-6500,Operating SGD Account,2025-06-23,2025-06-24,SGD,219650.0,0.0,-219650.0,157150.0,-62500.0,Crestline Management Ltd,INV CML-2025-1009 SETTLEMENT,Wire transfer,Posted,CML-2025-1009
TXN-20250710-0009,LF-OPER-AUD-9020,Operating AUD Account,2025-07-10,2025-07-10,AUD,111650.0,0.0,-111650.0,147975.0,36325.0,Meridian Edge Advisors,AP-MEA-2025-1017-Meridian Edge Advisors,Wire transfer,Posted,MEA-2025-1017
TXN-20250715-0010,LF-OPER-GBP-7710,Operating GBP Account,2025-07-15,2025-07-15,GBP,142450.0,0.0,-142450.0,173000.0,30550.0,Crestone Wealth Management,Crestone Wealth Management / CWM-2025-1019,Wire transfer,Posted,CWM-2025-1019
TXN-20250901-0011,LF-WALLET-USDT-6627,Treasury USDT Wallet,2025-09-01,2025-09-01,USDT,24946.34,0.0,-24946.34,250000.0,225053.66,Stellar Vista Partners Limited,AP-001001-Stellar Vista Partners L,Crypto transfer,Posted,001001
TXN-20251219-0012,LF-OPER-USD-0881,Operating USD Account,2025-12-19,2025-12-19,USD,148500.0,0.0,-148500.0,640380.0,491880.0,Sable Point Partners,INV SPP-2025-1011 SETTLEMENT,Wire transfer,Posted,SPP-2025-1011
TXN-20260101-0013,LF-OPER-GBP-7710,Operating GBP Account,2026-01-01,2026-01-01,GBP,153450.0,0.0,-153450.0,30550.0,-122900.0,Northgate Strategy Corp.,AP-NSC-2025-1016-Northgate Strategy Corp.,Wire transfer,Posted,NSC-2025-1016
TXN-20260120-0014,LF-OPER-EUR-4402,Operating EUR Account,2026-01-20,2026-01-20,EUR,63800.0,0.0,-63800.0,333600.0,269800.0,Halcyon Consulting Group,PAY HCG-2025-1002 Halcyon Consulting Group,Wire transfer,Posted,HCG-2025-1002
TXN-20260121-0015,LF-OPER-AUD-9020,Operating AUD Account,2026-01-21,2026-01-22,AUD,62500.0,0.0,-62500.0,36325.0,-26175.0,Irongate Advisory GmbH,INV IAG-2025-1010 SETTLEMENT,Wire transfer,Posted,IAG-2025-1010
TXN-20260324-0016,LF-OPER-EUR-4402,Operating EUR Account,2026-03-24,2026-03-24,EUR,107500.0,0.0,-107500.0,269800.0,162300.0,Ellsworth & Moore LLP,PAY EML-2026-1008 Ellsworth & Moore LLP,Wire transfer,Posted,EML-2026-1008
TXN-20260408-0017,LF-OPER-GBP-7710,Operating GBP Account,2026-04-08,2026-04-08,GBP,89700.0,0.0,-89700.0,-122900.0,-212600.0,Redwood Strategy Inc.,Redwood Strategy Inc. / RSI-2026-1003,SEPA/IBAN,Posted,RSI-2026-1003
TXN-20260427-0018,LF-WALLET-USDT-6627,Treasury USDT Wallet,2026-04-27,2026-04-27,USDT,21000.0,0.0,-21000.0,225053.66,204053.66,SignalPlus Limited,INV 555008 SETTLEMENT,Crypto transfer,Posted,555008
TXN-20260505-0019,LF-OPER-USD-0881,Operating USD Account,2026-05-05,2026-05-05,USD,3200.0,0.0,-3200.0,491880.0,488680.0,North Pier Strategy,North Pier Strategy / NP-2605-002,Wire transfer,Posted,NP-2605-002
TXN-20260507-0020,LF-OPER-USD-0881,Operating USD Account,2026-05-07,2026-05-07,USD,103400.0,0.0,-103400.0,488680.0,385280.0,Caraway Capital Ltd,AP-CCL-2026-1012-Caraway Capital Ltd,Wire transfer,Posted,CCL-2026-1012
TXN-20260507-0021,LF-WALLET-USDC-6627,Treasury USDC Wallet,2026-05-07,2026-05-07,USDC,2850.0,0.0,-2850.0,250000.0,247150.0,Chain Ops Analytics Pte Ltd,PAY COA-0526-04 Chain Ops Analytics Pte Ltd,Crypto transfer,Posted,COA-0526-04
TXN-20260508-0022,LF-OPER-USD-0881,Operating USD Account,2026-05-08,2026-05-09,USD,3680.5,0.0,-3680.5,385280.0,381599.5,Pixel Forge Design Co,AP-PFD-2026-55-Pixel Forge Design Co,Wire transfer,Posted,PFD-2026-55
TXN-20260511-0023,LF-OPER-USD-0881,Operating USD Account,2026-05-11,2026-05-11,USD,854.93,0.0,-854.93,381599.5,380744.57,CloudDock SaaS Inc,AP-CD-INV-7731-CloudDock SaaS Inc,Card settlement,Posted,CD-INV-7731
TXN-20260511-0024,LF-OPER-USD-0881,Operating USD Account,2026-05-11,2026-05-11,USD,4500.0,0.0,-4500.0,380744.57,376244.57,Delta CFO Advisory,AP-DELTA-2026-05-R-Delta CFO Advisory,FPS,Posted,DELTA-2026-05-R
TXN-20260512-0025,LF-OPER-USD-0881,Operating USD Account,2026-05-12,2026-05-12,USD,2750.0,0.0,-2750.0,376244.57,373494.57,Blue Peak Legal LLP,AP-BPL-2026-091-Blue Peak Legal LLP,Wire transfer,Posted,BPL-2026-091
TXN-20260513-0026,LF-OPER-AUD-9020,Operating AUD Account,2026-05-13,2026-05-13,AUD,120450.0,0.0,-120450.0,-26175.0,-146625.0,Fairwater Group Inc.,AP-FGI-2026-1014-Fairwater Group Inc.,Wire transfer,Posted,FGI-2026-1014
TXN-20260514-0027,LF-OPER-USD-0881,Operating USD Account,2026-05-14,2026-05-14,USD,448.12,0.0,-448.12,373494.57,373046.45,Emerald Office Supplies,PAY EOS-90031 Emerald Office Supplies,Wire transfer,Posted,EOS-90031
TXN-20260515-0028,LF-OPER-USD-0881,Operating USD Account,2026-05-15,2026-05-15,USD,3570.0,0.0,-3570.0,373046.45,369476.45,Atlas Compliance Partners Ltd,PAY ATL-2026-0501 Atlas Compliance Partners Lt,Wire transfer,Posted,ATL-2026-0501
TXN-20260515-0029,LF-OPER-USD-0881,Operating USD Account,2026-05-15,2026-05-15,USD,355.0,0.0,-355.0,369476.45,369121.45,Maple Courier,Maple Courier / MC-15-0526,FPS,Posted,MC-15-0526
TXN-20260518-0030,LF-OPER-USD-0881,Operating USD Account,2026-05-18,2026-05-18,USD,1100.0,0.0,-1100.0,369121.45,368021.45,Keystone Data Rooms,PAY KDR-2026-778 Keystone Data Rooms,Wire transfer,Posted,KDR-2026-778
TXN-20260519-0031,LF-OPER-USD-0881,Operating USD Account,2026-05-19,2026-05-19,USD,440.0,0.0,-440.0,368021.45,367581.45,Quarry Cafe Meetings,AP-QCM-2026-519-Quarry Cafe Meetings,Card settlement,Posted,QCM-2026-519
TXN-20260520-0032,LF-OPER-HKD-1123,Operating HKD Account,2026-05-20,2026-05-21,HKD,11958.3,0.0,-11958.3,380000.0,368041.7,Jade Event Logistics,Jade Event Logistics / JEL-2662,Wire transfer,Posted,JEL-2662
TXN-20260525-0033,LF-OPER-USD-0881,Operating USD Account,2026-05-25,2026-05-25,USD,1650.0,0.0,-1650.0,367581.45,365931.45,Harbor Ledger Services,AP-HLS-2026-118-Harbor Ledger Services,Wire transfer,Posted,HLS-2026-118
TXN-20260525-0034,LF-OPER-USD-0881,Operating USD Account,2026-05-25,2026-05-25,USD,936.0,0.0,-936.0,365931.45,364995.45,Orchid HR Payroll,Orchid HR Payroll / OHR-2026-117,Wire transfer,Posted,OHR-2026-117
TXN-20260525-0035,LF-OPER-USD-0881,Operating USD Account,2026-05-25,2026-05-26,USD,5900.0,0.0,-5900.0,364995.45,359095.45,Pioneer Tax Services,AP-PTS-2026-1888-Pioneer Tax Services,Wire transfer,Posted,PTS-2026-1888
TXN-20260527-0036,LF-OPER-EUR-4402,Operating EUR Account,2026-05-27,2026-05-27,EUR,2730.0,0.0,-2730.0,162300.0,159570.0,Nord Analytics GmbH,INV NA-2026-0516 SETTLEMENT,SEPA/IBAN,Posted,NA-2026-0516
TXN-20260529-0037,LF-OPER-USD-0881,Operating USD Account,2026-05-29,2026-05-29,USD,1725.0,0.0,-1725.0,359095.45,357370.45,Glasshouse Training Group,INV PRO-2026-05-11 SETTLEMENT,Wire transfer,Posted,PRO-2026-05-11
TXN-20260601-0038,LF-OPER-USD-0881,Operating USD Account,2026-06-01,2026-06-01,USD,5360.0,0.0,-5360.0,357370.45,352010.45,Lantern Audit Support,Lantern Audit Support / LAS-2026-0140,Wire transfer,Posted,LAS-2026-0140
TXN-20260603-0039,LF-OPER-USD-0881,Operating USD Account,2026-06-03,2026-06-03,USD,2850.0,0.0,-2850.0,352010.45,349160.45,Frontier Risk Consulting,INV FRC-2026-144 SETTLEMENT,Wire transfer,Posted,FRC-2026-144
TXN-20260605-0040,LF-OPER-USD-0881,Operating USD Account,2026-06-05,2026-06-05,USD,1800.0,0.0,-1800.0,349160.45,347360.45,Summit Governance Labs,INV SGL-2026-0520 SETTLEMENT,Wire transfer,Posted,SGL-2026-0520
TXN-20260616-0041,LF-OPER-USD-0881,Operating USD Account,2026-06-16,2026-06-17,USD,2192.71,0.0,-2192.71,347360.45,345167.74,Apex Field Services Inc.,INV SIM-2026-002 SETTLEMENT,Wire transfer,Posted,SIM-2026-002
TXN-20260617-0042,LF-OPER-USD-0881,Operating USD Account,2026-06-17,2026-06-17,USD,2418.99,0.0,-2418.99,345167.74,342748.75,Pioneer Audit Services LLC,AP-SIM-2026-005-Pioneer Audit Services L,Wire transfer,Posted,SIM-2026-005
TXN-20260622-0043,LF-OPER-SGD-6500,Operating SGD Account,2026-06-22,2026-06-22,SGD,105000.0,0.0,-105000.0,-62500.0,-167500.0,Paragon Fiduciary Ltd,INV PFL-2026-1007 SETTLEMENT,Wire transfer,Posted,PFL-2026-1007
TXN-20260624-0044,LF-OPER-USD-0881,Operating USD Account,2026-06-24,2026-06-25,USD,10295.0,0.0,-10295.0,342748.75,332453.75,Ogier,PAY 6024081 Ogier,Wire transfer,Posted,6024081
TXN-20260624-0045,LF-OPER-USD-0881,Operating USD Account,2026-06-24,2026-06-25,USD,2111.9,0.0,-2111.9,332453.75,330341.85,Northbridge Labs LLC,AP-SIM-2026-007-Northbridge Labs LLC,Wire transfer,Posted,SIM-2026-007
TXN-20260625-0046,LF-OPER-USD-0881,Operating USD Account,2026-06-25,2026-06-25,USD,2806.89,0.0,-2806.89,330341.85,327534.96,Northbridge Labs LLC,Northbridge Labs LLC / SIM-2026-001,Wire transfer,Posted,SIM-2026-001
TXN-20260626-0047,LF-OPER-USD-0881,Operating USD Account,2026-06-26,2026-06-26,USD,3539.59,0.0,-3539.59,327534.96,323995.37,Cedarline Systems LLC,INV SIM-2026-003 SETTLEMENT,Wire transfer,Posted,SIM-2026-003
TXN-20260626-0048,LF-OPER-USD-0881,Operating USD Account,2026-06-26,2026-06-26,USD,3163.54,0.0,-3163.54,323995.37,320831.83,Gridline Analytics Ltd.,Gridline Analytics Ltd. / SIM-2026-006,Wire transfer,Posted,SIM-2026-006
TXN-20260706-0049,LF-OPER-EUR-4402,Operating EUR Account,2026-07-06,2026-07-07,EUR,142000.0,0.0,-142000.0,159570.0,17570.0,Oakhurst Consulting Pte. Ltd.,PAY OCP-2026-1013 Oakhurst Consulting Pte. Ltd,SEPA/IBAN,Posted,OCP-2026-1013
TXN-20260706-0050,LF-OPER-USD-0881,Operating USD Account,2026-07-06,2026-07-07,USD,2265.0,0.0,-2265.0,320831.83,318566.83,Summit Ridge Operations LLC,Summit Ridge Operations LLC / SIM-2026-004,Wire transfer,Posted,SIM-2026-004
TXN-20260706-0051,LF-OPER-USD-0881,Operating USD Account,2026-07-06,2026-07-06,USD,2338.18,0.0,-2338.18,318566.83,316228.65,Summit Ridge Operations LLC,PAY SIM-2026-010 Summit Ridge Operations LLC,Wire transfer,Posted,SIM-2026-010
TXN-20260706-0052,LF-OPER-USD-0881,Operating USD Account,2026-07-06,2026-07-07,USD,2413.6,0.0,-2413.6,316228.65,313815.05,SHEET Invoice,SHEET Invoice / SIM-2026-021,Wire transfer,Posted,SIM-2026-021
TXN-20260710-0053,LF-OPER-USD-0881,Operating USD Account,2026-07-10,2026-07-11,USD,2203.49,0.0,-2203.49,313815.05,311611.56,Apex Field Services Inc.,INV SIM-2026-014 SETTLEMENT,Wire transfer,Posted,SIM-2026-014
TXN-20260710-0054,LF-OPER-USD-0881,Operating USD Account,2026-07-10,2026-07-10,USD,1811.0,0.0,-1811.0,311611.56,309800.56,Summit Ridge Operations LLC,PAY SIM-2026-016 Summit Ridge Operations LLC,Wire transfer,Posted,SIM-2026-016
TXN-20260713-0055,LF-OPER-USD-0881,Operating USD Account,2026-07-13,2026-07-14,USD,2170.0,0.0,-2170.0,309800.56,307630.56,Apex Field Services Inc.,PAY SIM-2026-008 Apex Field Services Inc.,Wire transfer,Posted,SIM-2026-008
TXN-20260713-0056,LF-OPER-USD-0881,Operating USD Account,2026-07-13,2026-07-13,USD,2953.43,0.0,-2953.43,307630.56,304677.13,Cedarline Systems LLC,PAY SIM-2026-015 Cedarline Systems LLC,Wire transfer,Posted,SIM-2026-015
TXN-20260713-0057,LF-OPER-USD-0881,Operating USD Account,2026-07-13,2026-07-14,USD,2602.16,0.0,-2602.16,304677.13,302074.97,SHEET Invoice,AP-SIM-2026-022-SHEET Invoice,Wire transfer,Posted,SIM-2026-022
TXN-20260715-0058,LF-OPER-USD-0881,Operating USD Account,2026-07-15,2026-07-16,USD,1735.0,0.0,-1735.0,302074.97,300339.97,SHEET Invoice,AP-SIM-2026-023-SHEET Invoice,Wire transfer,Posted,SIM-2026-023
TXN-20260716-0059,LF-OPER-USD-0881,Operating USD Account,2026-07-16,2026-07-16,USD,2926.49,0.0,-2926.49,300339.97,297413.48,Cedarline Systems LLC,PAY SIM-2026-009 Cedarline Systems LLC,Wire transfer,Posted,SIM-2026-009
TXN-20260716-0060,LF-OPER-USD-0881,Operating USD Account,2026-07-16,2026-07-16,USD,2650.65,0.0,-2650.65,297413.48,294762.83,Pioneer Audit Services LLC,INV SIM-2026-017 SETTLEMENT,Wire transfer,Posted,SIM-2026-017
TXN-20260720-0061,LF-OPER-USD-0881,Operating USD Account,2026-07-20,2026-07-20,USD,2418.99,0.0,-2418.99,294762.83,292343.84,Pioneer Audit Services LLC,INV SIM-2026-011 SETTLEMENT,Wire transfer,Posted,SIM-2026-011
TXN-20260720-0062,LF-OPER-USD-0881,Operating USD Account,2026-07-20,2026-07-20,USD,3356.41,0.0,-3356.41,292343.84,288987.43,Gridline Analytics Ltd.,Gridline Analytics Ltd. / SIM-2026-018,Wire transfer,Posted,SIM-2026-018
TXN-20260721-0063,LF-OPER-USD-0881,Operating USD Account,2026-07-21,2026-07-21,USD,3025.0,0.0,-3025.0,288987.43,285962.43,Gridline Analytics Ltd.,AP-SIM-2026-012-Gridline Analytics Ltd.,Wire transfer,Posted,SIM-2026-012
TXN-20260722-0064,LF-OPER-USD-0881,Operating USD Account,2026-07-22,2026-07-22,USD,2316.63,0.0,-2316.63,285962.43,283645.8,Northbridge Labs LLC,PAY SIM-2026-019 Northbridge Labs LLC,Wire transfer,Posted,SIM-2026-019
TXN-20260723-0065,LF-OPER-USD-0881,Operating USD Account,2026-07-23,2026-07-23,USD,2198.1,0.0,-2198.1,283645.8,281447.7,Northbridge Labs LLC,INV SIM-2026-013 SETTLEMENT,Wire transfer,Posted,SIM-2026-013
TXN-20260724-0066,LF-OPER-USD-0881,Operating USD Account,2026-07-24,2026-07-24,USD,2685.0,0.0,-2685.0,281447.7,278762.7,Apex Field Services Inc.,Apex Field Services Inc. / SIM-2026-020,Wire transfer,Posted,SIM-2026-020
TXN-20260729-0067,LF-OPER-USD-0881,Operating USD Account,2026-07-29,2026-07-29,USD,1664.74,0.0,-1664.74,278762.7,277097.96,Summit Pixel Billing LLC,Summit Pixel Billing LLC / SIM-2026-030,Wire transfer,Posted,SIM-2026-030
TXN-20260731-0068,LF-OPER-USD-0881,Operating USD Account,2026-07-31,2026-08-01,USD,2241.2,0.0,-2241.2,277097.96,274856.76,SHEET Invoice,PAY SIM-2026-025 SHEET Invoice,Wire transfer,Posted,SIM-2026-025
TXN-20260731-0069,LF-OPER-USD-0881,Operating USD Account,2026-07-31,2026-08-01,USD,1690.0,0.0,-1690.0,274856.76,273166.76,Greenfield Office Services LLC,INV SIM-2026-028 SETTLEMENT,Wire transfer,Posted,SIM-2026-028
TXN-20260803-0070,LF-OPER-USD-0881,Operating USD Account,2026-08-03,2026-08-04,USD,2995.45,0.0,-2995.45,273166.76,270171.31,SHEET Invoice,PAY SIM-2026-024 SHEET Invoice,Wire transfer,Posted,SIM-2026-024
TXN-20260807-0071,LF-OPER-USD-0881,Operating USD Account,2026-08-07,2026-08-08,USD,1842.53,0.0,-1842.53,270171.31,268328.78,Ironwood Receipt Imaging LLC,INV SIM-2026-026 SETTLEMENT,Wire transfer,Posted,SIM-2026-026
TXN-20260810-0072,LF-OPER-USD-0881,Operating USD Account,2026-08-10,2026-08-11,USD,2160.39,0.0,-2160.39,268328.78,266168.39,Silverline Parser Fixtures Inc.,Silverline Parser Fixtures Inc. / SIM-2026-027,Wire transfer,Posted,SIM-2026-027
TXN-20260812-0073,LF-OPER-USD-0881,Operating USD Account,2026-08-12,2026-08-12,USD,2629.1,0.0,-2629.1,266168.39,263539.29,Beacon Image Operations Co.,PAY SIM-2026-029 Beacon Image Operations Co.,Wire transfer,Posted,SIM-2026-029
