invoice_id,invoice_date,vendor,invoice_currency,invoice_total,primary_source_file,primary_source_page,all_source_refs,source_occurrences,payment_channel,transaction_date,value_date,account_id,account_name
GP-2025-1001,2025-01-12,Greyvane Partners,GBP,217000.0,invoices_all_20/invoice_02_GP-2025-1001.pdf,1,invoices_all_20/invoice_02_GP-2025-1001.pdf#p1,1,Wire transfer,2025-02-03,2025-02-04,LF-OPER-GBP-7710,Operating GBP Account
TAL-2025-1000,2025-02-14,Thornfield Advisory Ltd,AUD,92000.0,invoices_all_20/invoice_01_TAL-2025-1000.pdf,1,invoices_all_20/invoice_01_TAL-2025-1000.pdf#p1,1,Wire transfer,2025-02-17,2025-02-17,LF-OPER-AUD-9020,Operating AUD Account
AHP-2025-1018,2025-03-27,Aspen Hill Partners LLP,SGD,135000.0,invoices_all_20/invoice_19_AHP-2025-1018.pdf,1,invoices_all_20/invoice_19_AHP-2025-1018.pdf#p1,1,Wire transfer,2025-03-31,2025-03-31,LF-OPER-SGD-6500,Operating SGD Account
AFS-2025-1005,2025-03-29,Ardent Financial Solutions,EUR,86400.0,invoices_all_20/invoice_06_AFS-2025-1005.pdf,1,invoices_all_20/invoice_06_AFS-2025-1005.pdf#p1,1,Wire transfer,2025-04-07,2025-04-08,LF-OPER-EUR-4402,Operating EUR Account
VAP-2025-1006,2025-04-17,Vantage Advisory Partners,AUD,280025.0,invoices_all_20/invoice_07_VAP-2025-1006.pdf,1,invoices_all_20/invoice_07_VAP-2025-1006.pdf#p1,1,Wire transfer,2025-04-30,2025-04-30,LF-OPER-AUD-9020,Operating AUD Account
BAL-2025-1015,2025-04-14,Bridgestone Advisory Ltd,SGD,67850.0,invoices_all_20/invoice_16_BAL-2025-1015.pdf,1,invoices_all_20/invoice_16_BAL-2025-1015.pdf#p1,1,Wire transfer,2025-05-09,2025-05-09,LF-OPER-SGD-6500,Operating SGD Account
KCS-2025-1004,2025-05-15,Kestrel Capital Services,USD,109620.0,invoices_all_20/invoice_05_KCS-2025-1004.pdf,1,invoices_all_20/invoice_05_KCS-2025-1004.pdf#p1,1,Wire transfer,2025-05-23,2025-05-23,LF-OPER-USD-0881,Operating USD Account
CML-2025-1009,2025-06-11,Crestline Management Ltd,SGD,219650.0,invoices_all_20/invoice_10_CML-2025-1009.pdf,1,invoices_all_20/invoice_10_CML-2025-1009.pdf#p1,1,Wire transfer,2025-06-23,2025-06-24,LF-OPER-SGD-6500,Operating SGD Account
MEA-2025-1017,2025-07-02,Meridian Edge Advisors,AUD,111650.0,invoices_all_20/invoice_18_MEA-2025-1017.pdf,1,invoices_all_20/invoice_18_MEA-2025-1017.pdf#p1,1,Wire transfer,2025-07-10,2025-07-10,LF-OPER-AUD-9020,Operating AUD Account
CWM-2025-1019,2025-07-05,Crestone Wealth Management,GBP,142450.0,invoices_all_20/invoice_20_CWM-2025-1019.pdf,1,invoices_all_20/invoice_20_CWM-2025-1019.pdf#p1,1,Wire transfer,2025-07-15,2025-07-15,LF-OPER-GBP-7710,Operating GBP Account
001001,2025-08-28,Stellar Vista Partners Limited,USDT,24946.34,Management Fee Invoice July 2025.pdf,1,Management Fee Invoice July 2025.pdf#p1,1,Crypto transfer,2025-09-01,2025-09-01,LF-WALLET-USDT-6627,Treasury USDT Wallet
SPP-2025-1011,2025-12-08,Sable Point Partners,USD,148500.0,invoices_all_20/invoice_12_SPP-2025-1011.pdf,1,invoices_all_20/invoice_12_SPP-2025-1011.pdf#p1,1,Wire transfer,2025-12-19,2025-12-19,LF-OPER-USD-0881,Operating USD Account
NSC-2025-1016,2025-12-25,Northgate Strategy Corp.,GBP,153450.0,invoices_all_20/invoice_17_NSC-2025-1016.pdf,1,invoices_all_20/invoice_17_NSC-2025-1016.pdf#p1,1,Wire transfer,2026-01-01,2026-01-01,LF-OPER-GBP-7710,Operating GBP Account
HCG-2025-1002,2025-12-28,Halcyon Consulting Group,EUR,63800.0,invoices_all_20/invoice_03_HCG-2025-1002.pdf,1,invoices_all_20/invoice_03_HCG-2025-1002.pdf#p1,1,Wire transfer,2026-01-20,2026-01-20,LF-OPER-EUR-4402,Operating EUR Account
IAG-2025-1010,2025-12-27,Irongate Advisory GmbH,AUD,62500.0,invoices_all_20/invoice_11_IAG-2025-1010.pdf,1,invoices_all_20/invoice_11_IAG-2025-1010.pdf#p1,1,Wire transfer,2026-01-21,2026-01-22,LF-OPER-AUD-9020,Operating AUD Account
EML-2026-1008,2026-02-28,Ellsworth & Moore LLP,EUR,107500.0,invoices_all_20/invoice_09_EML-2026-1008.pdf,1,invoices_all_20/invoice_09_EML-2026-1008.pdf#p1,1,Wire transfer,2026-03-24,2026-03-24,LF-OPER-EUR-4402,Operating EUR Account
RSI-2026-1003,2026-03-12,Redwood Strategy Inc.,GBP,89700.0,invoices_all_20/invoice_04_RSI-2026-1003.pdf,1,invoices_all_20/invoice_04_RSI-2026-1003.pdf#p1,1,SEPA/IBAN,2026-04-08,2026-04-08,LF-OPER-GBP-7710,Operating GBP Account
555008,2026-04-22,SignalPlus Limited,USDT,21000.0,Stellar Vista March Service Fee.pdf,1,Stellar Vista March Service Fee.pdf#p1,1,Crypto transfer,2026-04-27,2026-04-27,LF-WALLET-USDT-6627,Treasury USDT Wallet
